SERVICE,LIMIT,SCOPE,MAX,USED,USED%
identity,policies-count,GLOBAL,100,47,47.0%
identity,policy-statements-per-compartment-hierarchy,PER_COMPARTMENT_HIERARCHY,500,220,44.0%
identity,statements-count,PER_POLICY,50,25,50.0%
vcn,dhcp-option-count,PER_VCN,300,2,0.7%
vcn,drg-count,REGION,5,2,40.0%
vcn,flow-log-config-count,GLOBAL,100,2,2.0%
vcn,internet-gateway-count,PER_VCN,1,1,100.0%
vcn,nat-gateway-count,PER_VCN,1,1,100.0%
vcn,networksecuritygroups-count,PER_VCN,"1,000",1,0.1%
vcn,reserved-public-ip-count,REGION,50,1,2.0%
vcn,route-table-count,PER_VCN,300,3,1.0%
vcn,security-list-count,PER_VCN,300,6,2.0%
vcn,securityrules-per-networksecuritygroup-count,PER_NSG,120,2,1.7%
vcn,subnet-count,PER_VCN,300,4,1.3%
vcn,vcn-count,REGION,50,7,14.0%
load-balancer,backend-sets-per-lb-count,PER_LB,16,2,12.5%
load-balancer,lb-100mbps-count,REGION,300,1,0.3%
load-balancer,lb-flexible-bandwidth-sum,REGION,"5,000",100,2.0%
load-balancer,lb-flexible-count,REGION,50,1,2.0%
load-balancer,listeners-per-lb-count,PER_LB,16,2,12.5%
faas,application-count,REGION,20,8,40.0%
faas,function-count,REGION,500,10,2.0%
compute,custom-image-count,REGION,500,9,1.8%
compute,gpu-a10-count,ZyrR:PHX-AD-2,32,2,6.2%
compute,standard-e4-core-count,ZyrR:PHX-AD-1,"2,000",14,0.7%
compute,standard-e4-memory-count,ZyrR:PHX-AD-1,"32,000",208,0.7%
compute,standard-e5-core-count,ZyrR:PHX-AD-1,"2,000",23,1.1%
compute,standard-e5-core-count,ZyrR:PHX-AD-3,"2,000",4,0.2%
compute,standard-e5-memory-count,ZyrR:PHX-AD-1,"24,000",216,0.9%
compute,standard-e5-memory-count,ZyrR:PHX-AD-3,"24,000",64,0.3%
compute,standard3-core-count,ZyrR:PHX-AD-1,"2,000",64,3.2%
compute,standard3-memory-count,ZyrR:PHX-AD-1,"32,000","1,024",3.2%
