Region: us-phoenix-1
SERVICE            LIMIT                                                SCOPE                       MAX         USED    USED%
------------------------------------------------------------------------------------------------------------------------------
adm                knowledge-base-count                                 REGION                    1,000            0     0.0%
agcs               oag-service-instance-count                           REGION                        5            1    20.0%
ai-anomaly-dete... ai-anomaly-detection-data-asset-count                REGION                        0            0      N/A
ai-anomaly-dete... ai-anomaly-detection-model-count                     REGION                        0            0      N/A
ai-anomaly-dete... ai-anomaly-detection-project-count                   REGION                        0            0      N/A
ai-anomaly-dete... ai-anomaly-detection-pvt-endpoint-count              REGION                        0            0      N/A
ai-biometric       ai-biometric-store-count                             REGION                        5          N/A      N/A
ai-document        ai-document-model-count                              REGION                       25            0     0.0%
ai-document        ai-document-project-count                            REGION                       25            0     0.0%
ai-forecasting     ai-forecasting-forecast-count                        REGION                       25          N/A      N/A
ai-generative      api-key-count                                        REGION                       20            0     0.0%
ai-generative      application-max-artifact-count                       REGION                       20            0     0.0%
ai-generative      application-max-environment-count                    REGION                       20            0     0.0%
ai-generative      application-max-replica-count                        REGION                       30            0     0.0%
ai-generative      containers-memory-gb                                 REGION                       64          N/A      N/A
ai-generative      dedicated-unit-a10-count                             REGION                        0            0      N/A
ai-generative      dedicated-unit-a100-40g-count                        REGION                        0            0      N/A
ai-generative      dedicated-unit-a100-80g-count                        REGION                        0            0      N/A
ai-generative      dedicated-unit-embed-cohere-count                    REGION                        0            0      N/A
ai-generative      dedicated-unit-h100-count                            REGION                        0            0      N/A
ai-generative      dedicated-unit-h200-count                            REGION                        0            0      N/A
ai-generative      dedicated-unit-large-cohere-count                    REGION                        0            0      N/A
ai-generative      dedicated-unit-llama2-70-count                       REGION                        0            0      N/A
ai-generative      dedicated-unit-rerank-cohere-count                   REGION                        0            0      N/A
ai-generative      dedicated-unit-small-cohere-count                    REGION                        0            0      N/A
ai-generative      endpoint-per-dedicated-unit-count                    REGION                       50          N/A      N/A
ai-generative      gemini-2-5-flash-chat-tokens-per-minute-count        REGION                  100,000          N/A      N/A
ai-generative      gemini-2-5-flash-lite-chat-tokens-per-minute-count   REGION                  100,000          N/A      N/A
ai-generative      gemini-2-5-pro-chat-tokens-per-minute-count          REGION                  100,000          N/A      N/A
ai-generative      grok-3-chat-tokens-per-minute-count                  REGION                  100,000          N/A      N/A
ai-generative      grok-3-mini-chat-tokens-per-minute-count             REGION                  100,000          N/A      N/A
ai-generative      grok-4-2-multi-agent-tokens-per-minute-count         REGION                  200,000          N/A      N/A
ai-generative      grok-4-2-non-reasoning-tokens-per-minute-count       REGION                  200,000          N/A      N/A
ai-generative      grok-4-2-reasoning-tokens-per-minute-count           REGION                  200,000          N/A      N/A
ai-generative      grok-4-chat-tokens-per-minute-count                  REGION                  200,000          N/A      N/A
ai-generative      grok-4-fast-chat-tokens-per-minute-count             REGION                  200,000          N/A      N/A
ai-generative      grok-code-fast-tokens-per-minute-count               REGION                  200,000          N/A      N/A
ai-generative      hosted-application-count                             REGION                       10            0     0.0%
ai-generative      hosted-application-private-endpoint-count            REGION                        3            0     0.0%
